,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
15796,0.6666666666666666,0.02036311380084297,0.8737864077669926,0.7297297297297298,0.9442458899213725,excellent,1.0,gas,0.47428421224060635,0.0,automatic,fwd,hatchback,va,0.376866506711357,0.8200683431441265,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15797,0.6666666666666666,0.01554826332046904,0.7961165048543712,0.2702702702702703,0.27269478198713365,good,0.0,gas,0.39714113468895623,0.0,automatic,rwd,sedan,va,0.37792304449429315,0.8199619724917895,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15798,0.6666666666666666,0.0436225453521878,0.8834951456310698,0.945945945945946,0.7140814867762688,excellent,1.0,gas,0.40571258775025065,0.0,automatic,4wd,SUV,va,0.376866506711357,0.8200683431441265,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15799,0.6666666666666666,0.028140949192216238,0.42718446601941906,0.10810810810810811,0.8166547533952824,good,0.0,gas,0.2799979428512653,0.0,automatic,rwd,coupe,va,0.36920010201054465,0.8107191225940762,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15800,0.6666666666666666,0.048133689879184295,0.9223300970873787,0.4594594594594595,0.6751250893495354,excellent,1.0,gas,0.3085580244514984,0.0,automatic,4wd,SUV,va,0.3775743349797278,0.8186019477226232,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15801,0.6666666666666666,0.04072622760168594,0.893203883495147,0.7297297297297298,0.6240171551107935,excellent,0.3333333333333333,gas,0.4268697910565458,0.0,automatic,4wd,SUV,va,0.3775743349797278,0.8186019477226232,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15802,0.6666666666666666,0.07110423040170669,0.9708737864077683,0.16216216216216217,0.8359542530378842,excellent,1.0,gas,0.19142626121788917,0.0,automatic,fwd,hatchback,va,0.4123203755653517,0.8211111554322161,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15803,0.6666666666666666,0.01851124823146838,0.9223300970873787,0.972972972972973,0.3470335954253038,good,0.6666666666666666,gas,0.28380809267820745,1.0,automatic,other,other,va,0.3664156305136439,0.8232841559013866,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15805,0.6666666666666666,0.21110526744642552,0.9611650485436911,0.16216216216216217,0.8002144388849178,good,0.0,gas,0.048845853845296695,0.0,automatic,4wd,pickup,va,0.1949078001634248,0.7342348246118893,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15806,0.6666666666666666,0.1940681042081793,0.9611650485436911,0.08108108108108109,0.07112223016440315,good,0.6666666666666666,gas,0.10873745353558152,0.0,automatic,rwd,coupe,va,0.1949078001634248,0.7342348246118893,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15807,0.6666666666666666,0.12369721257194498,0.9611650485436911,0.2972972972972973,0.8834882058613296,good,0.6666666666666666,gas,0.1857319592341692,0.0,other,fwd,other,va,0.1949078001634248,0.7342348246118893,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
