,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
3291,0.9333333333333333,0.00012957570222870207,0.9417475728155367,0.35135135135135137,0.27900355871886123,excellent,0.42857142857142855,gas,0.03349394640968574,0.0,automatic,4wd,SUV,vt,0.9218061779052045,0.5196007560899703,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3292,0.9333333333333333,0.0002510757043185021,0.9902912621359228,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.0066219894048169525,0.0,automatic,4wd,truck,vt,0.921805224112639,0.5195944827338734,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3293,0.9333333333333333,0.00032397570557238215,0.9417475728155367,0.2702702702702703,0.7120996441281139,excellent,0.8571428571428571,gas,0.024112761419581727,0.0,automatic,4wd,truck,vt,0.9218061779052045,0.5196020107611896,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3294,0.06666666666666667,9.719190167170071e-05,0.893203883495147,0.08108108108108109,0.05836298932384342,excellent,1.0,gas,0.038599538240738814,0.0,manual,other,coupe,va,0.8588596837605369,0.48130379912563215,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3295,0.9333333333333333,0.0002559357044020941,0.9708737864077683,0.945945945945946,0.9256227758007118,excellent,0.8571428571428571,gas,0.011982780827550676,0.0,automatic,4wd,truck,vt,0.9218014089423775,0.5195976194119218,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3296,0.9333333333333333,0.0001781757030646221,0.9611650485436911,0.08108108108108109,0.048042704626334524,excellent,0.42857142857142855,gas,0.01101918236930821,0.0,automatic,4wd,sedan,vt,0.921805224112639,0.5195963647407025,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3297,0.9333333333333333,0.00017007570292530209,0.9514563106796139,0.4594594594594595,0.502491103202847,excellent,0.42857142857142855,gas,0.021128366194614088,0.0,automatic,4wd,SUV,vt,0.9218071316977697,0.5195932280626541,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3298,0.9333333333333333,0.00016197570278598207,0.9126213592233015,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.03555994310409103,0.0,automatic,4wd,truck,vt,0.9217956861869853,0.5195976194119218,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3299,0.9333333333333333,0.0002559357044020941,0.9902912621359228,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.004211593261450782,0.0,automatic,4wd,truck,vt,0.9218071316977697,0.5195976194119218,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3300,0.9333333333333333,0.00013767570236802209,0.9611650485436911,0.7297297297297298,0.7291814946619217,excellent,0.42857142857142855,gas,0.01883196986884821,0.0,automatic,4wd,SUV,vt,0.9218176234159889,0.5195926007270444,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3301,0.9333333333333333,0.00012147570208938207,0.9902912621359228,0.7297297297297298,0.7672597864768684,excellent,0.42857142857142855,gas,1.599997440004096e-06,0.0,automatic,fwd,sedan,vt,0.9218071316977697,0.5195976194119218,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3302,0.9333333333333333,0.00012147570208938207,0.9902912621359228,0.7297297297297298,0.7672597864768684,excellent,0.42857142857142855,gas,0.0008695986086422262,0.0,automatic,fwd,sedan,vt,0.9218080854903352,0.5196001287543606,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3303,0.9333333333333333,0.00011337570195006207,0.9320388349514594,0.08108108108108109,0.9640569395017794,excellent,0.42857142857142855,gas,0.037907539347937044,0.0,automatic,4wd,SUV,vt,0.9217995013572468,0.5196007560899703,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3304,0.9333333333333333,8.097570139278206e-05,0.9320388349514594,0.7297297297297298,0.7291814946619217,excellent,0.42857142857142855,gas,0.038300338719458045,0.0,automatic,4wd,SUV,vt,0.9218023627349428,0.5196020107611896,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3305,0.9333333333333333,7.287570125346206e-05,0.9320388349514594,0.21621621621621623,0.301067615658363,excellent,0.42857142857142855,gas,0.028921153726154038,0.0,automatic,fwd,sedan,vt,0.9218023627349428,0.5195988740831412,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3306,0.9333333333333333,0.00012147570208938207,0.9902912621359228,0.7297297297297298,0.7672597864768684,excellent,0.42857142857142855,gas,1.599997440004096e-06,0.0,automatic,fwd,sedan,vt,0.9218080854903352,0.5196064021104574,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3307,0.9333333333333333,0.00015873570273025408,0.9805825242718456,0.21621621621621623,0.5003558718861211,excellent,0.7142857142857142,gas,0.01503517594371849,0.0,automatic,fwd,van,vt,0.9218128544531621,0.5195969920763122,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3309,0.9333333333333333,0.0001781757030646221,0.9611650485436911,0.08108108108108109,0.035943060498220644,excellent,0.42857142857142855,gas,0.01101918236930821,0.0,automatic,4wd,sedan,vt,0.9218090392829005,0.5195957374050928,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3310,0.9333333333333333,0.0001506357025909341,0.9805825242718456,0.21621621621621623,0.5003558718861211,excellent,0.7142857142857142,gas,0.01412517739971616,0.0,automatic,fwd,van,vt,0.9218033165275082,0.5196001287543606,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3311,0.9333333333333333,0.00012957570222870207,0.9611650485436911,0.7297297297297298,0.7291814946619217,excellent,0.42857142857142855,gas,0.01883196986884821,0.0,automatic,4wd,SUV,vt,0.9218061779052045,0.5196020107611896,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3312,0.9333333333333333,0.0002591757044578221,0.9902912621359228,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.004955592071052686,0.0,automatic,4wd,truck,vt,0.9218157158308582,0.5195944827338734,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3313,0.9333333333333333,0.00021867570376122208,0.9611650485436911,0.8378378378378379,0.30640569395017797,excellent,0.42857142857142855,gas,0.01690277295556327,0.0,automatic,4wd,SUV,vt,0.921805224112639,0.5196007560899703,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3314,0.9333333333333333,0.00014577570250734207,0.9126213592233015,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.03973295587898257,0.0,automatic,4wd,truck,vt,0.9218109468680313,0.5195976194119218,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3315,0.9333333333333333,0.00015387570264666209,0.9320388349514594,0.16216216216216217,0.7982206405693951,excellent,0.8571428571428571,gas,0.04693952489676016,0.0,automatic,4wd,truck,vt,0.9218014089423775,0.5195963647407025,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3316,0.9333333333333333,0.0002510757043185021,0.9611650485436911,0.945945945945946,0.9256227758007118,excellent,0.8571428571428571,gas,0.026534357545027927,0.0,automatic,4wd,truck,vt,0.9218071316977697,0.5195963647407025,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3317,0.9333333333333333,0.0001943757033432621,0.9611650485436911,0.6216216216216217,0.18007117437722422,excellent,0.42857142857142855,gas,0.014415176935716903,0.0,automatic,4wd,sedan,vt,0.9218033165275082,0.5195944827338734,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3318,0.9333333333333333,0.0001538838026468014,0.9611650485436911,0.5945945945945946,0.2943060498220641,excellent,0.42857142857142855,gas,0.014017577571875885,0.0,automatic,4wd,SUV,vt,0.9218080854903352,0.5195932280626541,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3319,0.9333333333333333,0.00032397570557238215,0.9902912621359228,0.21621621621621623,0.7192170818505339,excellent,0.7142857142857142,gas,0.0035411943340890656,0.0,automatic,4wd,truck,vt,0.9218090392829005,0.5195988740831412,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3320,0.9333333333333333,0.00012957570222870207,0.9417475728155367,0.2972972972972973,0.7797153024911032,excellent,0.7142857142857142,gas,0.00951558477506436,0.0,automatic,rwd,truck,vt,0.9218014089423775,0.519605147439238,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3321,0.9333333333333333,0.0002672757045971421,0.9708737864077683,0.7297297297297298,0.8925266903914592,excellent,0.8571428571428571,gas,0.0005179991712013261,0.0,automatic,4wd,truck,vt,0.9218071316977697,0.5196007560899703,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3322,0.9333333333333333,0.00012147570208938207,0.893203883495147,0.21621621621621623,0.29644128113879004,excellent,0.8571428571428571,gas,0.029792352332236267,0.0,automatic,4wd,truck,vt,0.9218090392829005,0.5196007560899703,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3323,0.9333333333333333,0.00020247570348258209,0.9902912621359228,0.7297297297297298,0.7309608540925268,excellent,0.42857142857142855,gas,0.005449591280653951,0.0,automatic,4wd,SUV,vt,0.9217995013572468,0.5196020107611896,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3325,0.9333333333333333,3.563190061286869e-05,0.8543689320388381,0.8918918918918919,0.4619217081850534,good,0.42857142857142855,gas,0.03771953964873656,0.0,manual,4wd,wagon,vt,0.9182771454133069,0.5191026516158816,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3326,0.9333333333333333,9.393570161569407e-05,0.9514563106796139,0.7297297297297298,0.12633451957295375,excellent,0.42857142857142855,gas,0.025709158865345815,0.0,automatic,fwd,sedan,vt,0.9218033165275082,0.5195976194119218,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3327,0.9333333333333333,0.00013767570236802209,0.9029126213592242,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.039776336357861826,0.0,automatic,4wd,truck,vt,0.9218033165275082,0.5196001287543606,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3330,0.9333333333333333,6.72219011562167e-05,0.9320388349514594,0.8918918918918919,0.6508896797153025,good,0.42857142857142855,gas,0.05094471848845042,0.0,automatic,4wd,SUV,vt,0.9193444392939645,0.519074421513446,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3331,0.9333333333333333,5.6651400974404095e-05,0.9417475728155367,0.21621621621621623,0.21209964412811388,good,0.8571428571428571,gas,0.05752350796238726,0.0,automatic,4wd,sedan,vt,0.9004574389143551,0.5249186800532558,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3332,0.9333333333333333,0.0001781757030646221,0.9708737864077683,0.16216216216216217,0.38078291814946624,excellent,0.8571428571428571,gas,0.01688397298564322,0.0,automatic,rwd,van,vt,0.9218090392829005,0.5195963647407025,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3334,0.9333333333333333,0.0001506357025909341,0.9805825242718456,0.21621621621621623,0.202135231316726,excellent,0.7142857142857142,gas,0.01412517739971616,0.0,automatic,fwd,van,vt,0.9218061779052045,0.5196001287543606,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3335,0.9333333333333333,0.0001781757030646221,0.9902912621359228,0.7297297297297298,0.7291814946619217,excellent,0.42857142857142855,gas,0.006829189073297483,0.0,automatic,4wd,SUV,vt,0.9218071316977697,0.5196001287543606,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3336,0.9333333333333333,0.0001506357025909341,0.9805825242718456,0.21621621621621623,0.202135231316726,excellent,0.7142857142857142,gas,0.01412517739971616,0.0,automatic,fwd,van,vt,0.9218061779052045,0.5196001287543606,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3338,0.9333333333333333,0.0001781757030646221,0.9514563106796139,0.40540540540540543,0.698220640569395,excellent,0.7142857142857142,gas,0.014658376546597525,0.0,automatic,4wd,sedan,vt,0.9218071316977697,0.5195982467475315,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3339,0.9333333333333333,0.0001992357034268541,0.9611650485436911,0.5405405405405406,0.5405693950177937,excellent,0.7142857142857142,gas,0.01092158252546796,0.0,automatic,4wd,sedan,vt,0.9218090392829005,0.5196007560899703,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3340,0.9333333333333333,0.00013767570236802209,0.9514563106796139,0.4594594594594595,0.21637010676156584,excellent,0.42857142857142855,gas,0.008379986592021453,0.0,automatic,4wd,SUV,vt,0.9217995013572468,0.5195963647407025,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3341,0.9333333333333333,0.0001943757033432621,0.9611650485436911,0.6216216216216217,0.15765124555160143,excellent,0.42857142857142855,gas,0.01935956902468956,0.0,automatic,4wd,sedan,vt,0.921805224112639,0.519603265432409,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3342,0.9333333333333333,0.00020247570348258209,0.9611650485436911,0.05405405405405406,0.6953736654804271,excellent,0.42857142857142855,gas,0.012938779297953123,0.0,automatic,4wd,SUV,vt,0.9218071316977697,0.5196001287543606,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3343,0.9333333333333333,0.00011337570195006207,0.9611650485436911,0.7297297297297298,0.7672597864768684,excellent,0.42857142857142855,gas,0.00974558440706495,0.0,automatic,fwd,sedan,vt,0.9218119006605967,0.5195944827338734,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3344,0.9333333333333333,5.667570097482206e-05,0.9417475728155367,0.7297297297297298,0.7672597864768684,excellent,0.42857142857142855,gas,0.041469533648746164,0.0,automatic,fwd,sedan,vt,0.9218014089423775,0.5195976194119218,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3345,0.9333333333333333,0.00015387570264666209,0.9417475728155367,0.8108108108108109,0.3907473309608541,excellent,0.8571428571428571,gas,0.03235234823624282,0.0,automatic,4wd,truck,vt,0.9218023627349428,0.5195963647407025,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
